"customerid","contract","tenure","monthlycharges","churn","internetservice","paymentmethod","health_score"
"0434-CSFON","Month-to-month",47,100.5,"No","Fiber optic","Electronic check",70
"1215-FIGMP","Month-to-month",60,89.9,"No","Fiber optic","Bank transfer (automatic)",80
"0526-SXDJP","Two year",72,42.1,"No","DSL","Bank transfer (automatic)",90
"0557-ASKVU","One year",18,54.4,"No","DSL","Credit card (automatic)",60
"5698-BQJOH","Month-to-month",9,94.4,"Yes","Fiber optic","Electronic check",50
"5122-CYFXA","Month-to-month",3,75.3,"No","DSL","Electronic check",50
"8627-ZYGSZ","One year",47,78.9,"No","Fiber optic","Electronic check",80
"3410-YOQBQ","Two year",31,79.2,"No","DSL","Mailed check",90
"3170-NMYVV","Two year",50,20.15,"No","No","Bank transfer (automatic)",80
"7410-OIEDU","Month-to-month",10,79.85,"No","Fiber optic","Mailed check",50
"2273-QCKXA","Month-to-month",1,49.05,"No","DSL","Mailed check",40
"0731-EBJQB","One year",52,20.4,"No","No","Electronic check",70
"1891-QRQSA","Two year",64,111.6,"No","Fiber optic","Bank transfer (automatic)",100
"8028-PNXHQ","Two year",62,24.25,"No","No","Bank transfer (automatic)",80
"5630-AHZIL","Month-to-month",3,64.5,"No","DSL","Bank transfer (automatic)",40
"2673-CXQEU","One year",56,110.5,"No","Fiber optic","Electronic check",90
"6416-JNVRK","One year",46,55.65,"No","DSL","Credit card (automatic)",70
"5590-ZSKRV","Month-to-month",8,54.65,"No","DSL","Mailed check",40
"0191-ZHSKZ","Month-to-month",30,74.75,"No","DSL","Electronic check",70
"3887-PBQAO","One year",45,25.9,"No","No","Credit card (automatic)",60
"5919-TMRGD","Month-to-month",1,79.35,"Yes","Fiber optic","Electronic check",50
"8108-UXRQN","Month-to-month",11,50.55,"No","DSL","Electronic check",40
"9191-MYQKX","Month-to-month",7,75.15,"Yes","Fiber optic","Bank transfer (automatic)",50
"9919-YLNNG","Month-to-month",42,103.8,"No","Fiber optic","Bank transfer (automatic)",70
"0318-ZOPWS","Two year",49,20.15,"No","No","Bank transfer (automatic)",80
"4445-ZJNMU","Month-to-month",9,99.3,"No","Fiber optic","Credit card (automatic)",50
"4808-YNLEU","One year",35,62.15,"No","DSL","Bank transfer (automatic)",70
"1862-QRWPE","Two year",48,20.65,"No","No","Bank transfer (automatic)",70
"2796-NNUFI","Two year",46,19.95,"No","No","Mailed check",70
"3016-KSVCP","Month-to-month",29,33.75,"No","DSL","Mailed check",60
"4767-HZZHQ","Month-to-month",30,82.05,"No","Fiber optic","Bank transfer (automatic)",70
"2424-WVHPL","Month-to-month",1,74.7,"No","Fiber optic","Electronic check",50
"7233-PAHHL","Two year",66,84,"No","DSL","Mailed check",100
"6067-NGCEU","Month-to-month",65,111.05,"No","Fiber optic","Credit card (automatic)",80
"9848-JQJTX","Two year",72,100.9,"No","Fiber optic","Bank transfer (automatic)",100
"8637-XJIVR","Month-to-month",12,78.95,"Yes","Fiber optic","Electronic check",50
"9803-FTJCG","One year",71,66.85,"No","DSL","Credit card (automatic)",80
"0278-YXOOG","Month-to-month",5,21.05,"Yes","No","Mailed check",30
"3212-KXOCR","Two year",52,21,"No","No","Bank transfer (automatic)",80
"4598-XLKNJ","Month-to-month",25,98.5,"Yes","Fiber optic","Electronic check",70
"6380-ARCEH","Month-to-month",1,20.2,"No","No","Mailed check",30
"3679-XASPY","Month-to-month",1,19.45,"No","No","Electronic check",30
"7123-WQUHX","One year",38,95,"No","Fiber optic","Bank transfer (automatic)",80
"5386-THSLQ","One year",66,45.55,"No","DSL","Bank transfer (automatic)",80
"3192-NQECA","Two year",68,110,"Yes","Fiber optic","Bank transfer (automatic)",100
"6180-YBIQI","Month-to-month",5,24.3,"No","DSL","Mailed check",30
"6728-DKUCO","One year",72,104.15,"No","Fiber optic","Electronic check",90
"9750-BOOHV","One year",32,30.15,"No","DSL","Mailed check",70
"8597-CWYHH","One year",43,94.35,"No","Fiber optic","Mailed check",80
"2848-YXSMW","Two year",72,19.4,"No","No","Credit card (automatic)",80
"0486-HECZI","Month-to-month",55,96.75,"Yes","Fiber optic","Electronic check",80
"4549-ZDQYY","One year",52,57.95,"No","DSL","Credit card (automatic)",80
"5712-AHQNN","Month-to-month",43,91.65,"No","Fiber optic","Electronic check",70
"4846-WHAFZ","Month-to-month",37,76.5,"Yes","Fiber optic","Electronic check",70
"5256-SKJGO","Two year",64,54.6,"No","DSL","Electronic check",90
"3071-VBYPO","Month-to-month",3,89.85,"No","Fiber optic","Electronic check",50
"9560-BBZXK","Two year",36,31.05,"No","DSL","Bank transfer (automatic)",80
"5299-RULOA","Month-to-month",10,100.25,"Yes","Fiber optic","Electronic check",50
"8402-OOOHJ","Two year",41,20.65,"No","No","Mailed check",70
"9445-ZUEQE","Month-to-month",27,85.2,"No","Fiber optic","Credit card (automatic)",70
"1091-SOZGA","One year",56,99.8,"No","Fiber optic","Credit card (automatic)",90
"2928-HLDBA","Month-to-month",6,20.7,"No","No","Mailed check",30
"0404-SWRVG","Month-to-month",3,74.4,"Yes","Fiber optic","Electronic check",50
"6497-TILVL","Month-to-month",7,50.7,"No","DSL","Mailed check",40
"7219-TLZHO","Month-to-month",4,20.85,"No","No","Mailed check",30
"4622-YNKIJ","Two year",33,88.95,"No","Fiber optic","Electronic check",90
"4412-YLTKF","Month-to-month",27,78.05,"Yes","Fiber optic","Electronic check",70
"6734-PSBAW","Two year",72,23.55,"No","No","Bank transfer (automatic)",80
"3930-ZGWVE","Month-to-month",1,19.75,"No","No","Mailed check",30
"2639-UGMAZ","One year",71,56.45,"No","DSL","Electronic check",80
"2876-GZYZC","Month-to-month",13,85.95,"No","Fiber optic","Electronic check",60
"6207-WIOLX","Month-to-month",25,58.6,"Yes","DSL","Credit card (automatic)",60
"8587-XYZSF","Two year",67,50.55,"No","DSL","Bank transfer (automatic)",90
"3091-FYHKI","Month-to-month",1,35.45,"Yes","DSL","Electronic check",40
"2372-HWUHI","Month-to-month",2,44.35,"Yes","DSL","Electronic check",40
"7799-LGRDP","Two year",43,25.7,"No","No","Credit card (automatic)",70
"7850-VWJUU","Month-to-month",23,75,"No","Fiber optic","Bank transfer (automatic)",60
"3774-VBNXY","Two year",64,20.2,"No","No","Mailed check",80
"6217-KDYWC","Two year",57,19.6,"No","No","Mailed check",80
"0390-DCFDQ","Month-to-month",1,70.45,"Yes","Fiber optic","Mailed check",50
"3146-MSEGF","Two year",72,88.05,"No","DSL","Credit card (automatic)",100
"4080-OGPJL","Month-to-month",8,71.15,"Yes","DSL","Electronic check",50
"1095-WGNGG","Two year",61,101.05,"No","Fiber optic","Bank transfer (automatic)",100
"2636-SJDOU","One year",64,84.3,"No","Fiber optic","Credit card (automatic)",90
"1131-QQZEB","Two year",71,23.95,"No","No","Bank transfer (automatic)",80
"5716-EZXZN","Two year",65,99.05,"No","Fiber optic","Credit card (automatic)",100
"6837-BJYDQ","One year",3,19.6,"No","No","Mailed check",40
"2135-RXIHG","Month-to-month",1,45.65,"Yes","DSL","Electronic check",40
"6440-DKQGE","One year",30,64.5,"No","DSL","Credit card (automatic)",70
"3466-BYAVD","Month-to-month",15,69.5,"No","DSL","Mailed check",50
"3780-YVMFA","Month-to-month",8,68.55,"No","DSL","Electronic check",40
"3874-EQOEP","Month-to-month",7,95,"Yes","Fiber optic","Mailed check",50
"1679-JRFBR","One year",70,108.15,"No","Fiber optic","Credit card (automatic)",90
"9073-ZZIAY","Two year",62,86.1,"No","DSL","Electronic check",100
"3077-RSNTJ","Month-to-month",6,19.7,"No","No","Mailed check",30
"6551-GNYDG","Month-to-month",14,80.9,"No","Fiber optic","Bank transfer (automatic)",60
"9167-APMXZ","Month-to-month",22,84.15,"No","Fiber optic","Bank transfer (automatic)",60
"2749-CTKAJ","One year",22,20.15,"No","No","Mailed check",50
"6371-NZYEG","Two year",16,64.25,"No","DSL","Mailed check",70
"7554-NEWDD","Two year",10,25.7,"No","No","Bank transfer (automatic)",50
"8992-VONJD","Month-to-month",13,56,"No","DSL","Electronic check",50
"0867-MKZVY","Month-to-month",20,82.4,"Yes","Fiber optic","Electronic check",60
"4482-EWFMI","Month-to-month",2,69.7,"No","Fiber optic","Electronic check",40
"4648-YPBTM","Two year",53,73.9,"No","DSL","Bank transfer (automatic)",100
"2907-ILJBN","One year",11,20.6,"No","No","Mailed check",40
"6345-FZOQH","Two year",69,19.9,"No","No","Mailed check",80
"3376-BMGFE","Month-to-month",4,70.9,"Yes","Fiber optic","Bank transfer (automatic)",50
"5997-OPVFA","Two year",72,89.05,"No","DSL","Bank transfer (automatic)",100
"3445-HXXGF","Month-to-month",58,45.3,"Yes","DSL","Electronic check",70
"1159-WFSGR","Month-to-month",16,20.4,"No","No","Electronic check",40
"7654-YWJUF","One year",43,84.25,"No","Fiber optic","Bank transfer (automatic)",80
"1875-QIVME","Month-to-month",2,104.4,"Yes","Fiber optic","Electronic check",50
"6727-IOTLZ","Two year",14,81.95,"No","DSL","Mailed check",80
"0691-JVSYA","One year",53,94.85,"Yes","Fiber optic","Bank transfer (automatic)",90
"5918-VUKWP","One year",32,20.55,"No","No","Bank transfer (automatic)",60
"1744-JHKYS","Month-to-month",34,24.7,"No","No","Electronic check",50
"2656-FMOKZ","Month-to-month",15,74.45,"Yes","Fiber optic","Mailed check",60
"2070-FNEXE","Month-to-month",7,76.45,"Yes","Fiber optic","Bank transfer (automatic)",50
"5947-SGKCL","Month-to-month",15,105.35,"No","Fiber optic","Bank transfer (automatic)",60
"3712-PKXZA","One year",61,20.55,"No","No","Credit card (automatic)",70
"6317-YPKDH","Month-to-month",1,29.95,"Yes","DSL","Bank transfer (automatic)",30
"6582-OIVSP","Month-to-month",1,45.3,"No","DSL","Mailed check",40
"9367-WXLCH","Month-to-month",8,84.5,"Yes","Fiber optic","Bank transfer (automatic)",50
"5524-KHNJP","One year",33,74.75,"No","DSL","Credit card (automatic)",80
"1918-ZBFQJ","Month-to-month",13,79.25,"Yes","Fiber optic","Electronic check",60
"1024-GUALD","Month-to-month",1,24.8,"Yes","DSL","Electronic check",30
"4827-USJHP","Month-to-month",20,51.8,"No","DSL","Mailed check",50
"8167-GJLRN","Month-to-month",3,30.4,"No","DSL","Electronic check",40
"0956-SYCWG","One year",13,19.65,"No","No","Electronic check",50
"8017-UVSZU","Month-to-month",40,56.6,"No","DSL","Credit card (automatic)",60
"7100-FQPRV","One year",43,71.9,"No","DSL","Credit card (automatic)",80
"2472-OVKUP","Month-to-month",6,91,"Yes","Fiber optic","Electronic check",50
"2984-RGEYA","Two year",69,19.75,"No","No","Bank transfer (automatic)",80
"9680-NIAUV","Two year",72,109.7,"No","Fiber optic","Credit card (automatic)",100
"2146-EGVDT","Two year",59,19.3,"No","No","Credit card (automatic)",80
"2604-IJPDU","Month-to-month",20,96.55,"No","Fiber optic","Electronic check",60
"9178-JHUVJ","Two year",24,24.1,"No","No","Bank transfer (automatic)",60
"6168-YBYNP","Month-to-month",59,111.35,"No","Fiber optic","Electronic check",80
"7255-SSFBC","Two year",72,112.25,"No","Fiber optic","Bank transfer (automatic)",100
"3645-DEYGF","Month-to-month",1,20.75,"No","No","Mailed check",30
"9323-HGFWY","One year",27,101.9,"No","Fiber optic","Credit card (automatic)",80
"8544-GOQSH","Month-to-month",14,80.05,"No","Fiber optic","Credit card (automatic)",60
"3363-DTIVD","Two year",71,105.55,"No","Fiber optic","Electronic check",100
"7018-WBJNK","Month-to-month",13,78.3,"No","Fiber optic","Credit card (automatic)",60
"9142-KZXOP","Month-to-month",44,68.85,"No","Fiber optic","Credit card (automatic)",60
"7674-YTAFD","One year",33,79.95,"No","Fiber optic","Bank transfer (automatic)",80
"6348-SNFUS","Two year",72,55.45,"No","DSL","Credit card (automatic)",90
"1285-OKIPP","Month-to-month",1,79.9,"Yes","Fiber optic","Electronic check",50
"7825-ECJRF","Month-to-month",19,106.6,"Yes","Fiber optic","Electronic check",60
"1347-KTTTA","One year",64,102.45,"No","Fiber optic","Credit card (automatic)",90
"7841-TZDMQ","Month-to-month",2,46,"Yes","DSL","Credit card (automatic)",40
"4195-NZGTA","Month-to-month",1,25.25,"No","DSL","Electronic check",30
"7157-SMCFK","Two year",61,19.75,"No","No","Mailed check",80
"4709-LKHYG","One year",29,20,"No","No","Electronic check",60
"2504-DSHIH","Month-to-month",23,86.8,"No","Fiber optic","Electronic check",60
"0699-NDKJM","Month-to-month",57,58.75,"No","DSL","Bank transfer (automatic)",70
"9286-BHDQG","Two year",72,45.25,"No","DSL","Credit card (automatic)",90
"0230-WEQUW","Two year",66,56.6,"No","DSL","Bank transfer (automatic)",90
"2040-LDIWQ","Two year",65,84.2,"No","DSL","Bank transfer (automatic)",100
"6496-JDSSB","Month-to-month",8,80,"No","Fiber optic","Bank transfer (automatic)",50
"9408-SSNVZ","Month-to-month",4,70.15,"Yes","Fiber optic","Electronic check",50
"4443-EMBNA","Two year",71,24.75,"No","No","Bank transfer (automatic)",80
"6469-MRVET","One year",1,20.2,"No","No","Electronic check",40
"0742-MOABM","Month-to-month",4,50.05,"Yes","DSL","Mailed check",40
"5961-VUSRV","One year",12,19.35,"No","No","Bank transfer (automatic)",40
"6778-JFCMK","One year",24,50.6,"No","DSL","Mailed check",60
"6341-JVQGF","One year",31,81.15,"No","DSL","Mailed check",80
"2232-DMLXU","Month-to-month",1,55.2,"Yes","DSL","Mailed check",40
"4811-JBUVU","Month-to-month",30,89.9,"No","Fiber optic","Credit card (automatic)",70
"0945-TSONX","Two year",47,85.3,"No","DSL","Credit card (automatic)",90
"2651-ZCBXV","Two year",54,108,"No","Fiber optic","Credit card (automatic)",100
"3316-UWXUY","Month-to-month",50,93.5,"No","Fiber optic","Credit card (automatic)",80
"8937-RDTHP","Month-to-month",1,84.6,"Yes","Fiber optic","Mailed check",50
"7083-MIOPC","Two year",72,20.25,"No","No","Credit card (automatic)",80
"1984-GPTEH","Month-to-month",29,25.15,"No","No","Electronic check",50
"1251-KRREG","Month-to-month",2,54.4,"Yes","DSL","Mailed check",40
"0621-JFHOL","Two year",10,29.6,"No","DSL","Mailed check",50
"9903-LYSAB","Month-to-month",18,73.15,"No","Fiber optic","Electronic check",60
"0094-OIFMO","Month-to-month",11,95,"Yes","Fiber optic","Electronic check",50
"9227-UAQFT","Two year",16,19.75,"No","No","Mailed check",60
"7301-ABVAD","Two year",72,86.6,"No","DSL","Bank transfer (automatic)",100
"6614-FHDBO","Two year",72,109.2,"No","Fiber optic","Bank transfer (automatic)",100
"7576-ASEJU","One year",41,74.7,"No","DSL","Credit card (automatic)",80
"9058-HRZSV","Month-to-month",65,94.4,"No","Fiber optic","Electronic check",80
"4522-AKYLR","Month-to-month",13,54.8,"No","DSL","Electronic check",50
"0221-WMXNQ","Month-to-month",4,75.35,"No","Fiber optic","Electronic check",50
"0303-UNCIP","One year",41,65,"No","DSL","Mailed check",70
"9947-OTFQU","Month-to-month",15,74.4,"Yes","Fiber optic","Electronic check",60
"0322-YINQP","Month-to-month",1,48.55,"Yes","DSL","Mailed check",40
"0959-WHOKV","One year",42,99,"No","Fiber optic","Electronic check",80
"4075-JFPGR","One year",51,93.5,"No","Fiber optic","Electronic check",90
"4629-NRXKX","Month-to-month",2,70.4,"Yes","Fiber optic","Electronic check",50
"9514-JDSKI","Month-to-month",1,40.2,"Yes","DSL","Electronic check",40
"3282-ZISZV","One year",32,83.7,"No","DSL","Credit card (automatic)",80
"3675-YDUPJ","Month-to-month",10,19.85,"No","No","Mailed check",30
"4111-BNXIF","Two year",67,59.55,"No","DSL","Electronic check",90
"7017-VFHAY","Two year",61,115.1,"No","Fiber optic","Credit card (automatic)",100
"6655-LHBYW","One year",50,114.35,"No","Fiber optic","Credit card (automatic)",90
"4959-JOSRX","Month-to-month",2,44.6,"Yes","DSL","Credit card (automatic)",40
"5046-NUHWD","Month-to-month",29,45,"No","DSL","Electronic check",60
"7273-TEFQD","Month-to-month",3,41.15,"Yes","DSL","Electronic check",40
"3606-TWKGI","Month-to-month",13,106.9,"Yes","Fiber optic","Electronic check",60
"7529-ZDFXI","Month-to-month",57,89.85,"No","Fiber optic","Electronic check",80
"7605-BDWDC","Two year",31,49.85,"No","DSL","Bank transfer (automatic)",80
"1950-KSVVJ","One year",45,113.3,"No","Fiber optic","Mailed check",80
"0123-CRBRT","Two year",61,88.1,"No","DSL","Mailed check",100
"6292-TOSSS","Two year",50,24.9,"No","No","Bank transfer (automatic)",80
"3197-ARFOY","Month-to-month",19,105,"No","Fiber optic","Mailed check",60
"6323-AYBRX","Two year",59,19.35,"Yes","No","Mailed check",80
"7014-ZZXAW","Two year",71,24.25,"No","No","Credit card (automatic)",80
"4385-GZQXV","Month-to-month",16,94.45,"Yes","Fiber optic","Electronic check",60
"7633-MVPUY","Two year",57,59.75,"No","DSL","Electronic check",90
"6366-ZGQGL","Month-to-month",1,24.8,"Yes","DSL","Bank transfer (automatic)",30
"4716-HHKQH","Month-to-month",20,107.05,"No","Fiber optic","Electronic check",60
"5940-AHUHD","Month-to-month",1,70.6,"Yes","Fiber optic","Mailed check",50
"6432-TWQLB","Month-to-month",5,85.4,"Yes","Fiber optic","Electronic check",50
"4484-GLZOU","Month-to-month",52,105.05,"Yes","Fiber optic","Electronic check",80
"3179-GBRWV","Month-to-month",21,64.95,"No","DSL","Bank transfer (automatic)",50
"8645-KWHJO","Month-to-month",14,55,"No","DSL","Electronic check",50
"4130-MZLCC","Month-to-month",5,50.55,"No","DSL","Bank transfer (automatic)",40
"0314-TKOSI","Month-to-month",6,55.15,"No","DSL","Mailed check",40
"8229-MYEJZ","Month-to-month",10,51.2,"No","DSL","Electronic check",40
"2080-SRCDE","Month-to-month",1,25.4,"No","No","Mailed check",30
"9577-WJVCQ","Month-to-month",68,54.45,"No","DSL","Mailed check",70
"9512-UIBFX","Month-to-month",18,95.15,"Yes","Fiber optic","Mailed check",60
"6202-DYYFX","One year",22,76,"No","Fiber optic","Credit card (automatic)",70
"3808-HFKDE","Month-to-month",20,44.35,"No","DSL","Electronic check",50
"5583-SXDAG","Month-to-month",1,70,"Yes","Fiber optic","Electronic check",40
"3488-PGMQJ","Month-to-month",8,74.5,"Yes","Fiber optic","Electronic check",50
"3580-REOAC","Month-to-month",10,44.85,"Yes","DSL","Credit card (automatic)",40
"7534-BFESC","Month-to-month",24,76.1,"Yes","Fiber optic","Electronic check",60
"3727-OWVYD","One year",35,61.2,"No","DSL","Mailed check",70
"2294-SALNE","One year",23,86.8,"No","Fiber optic","Mailed check",70
"4847-TAJYI","Month-to-month",6,89.35,"No","Fiber optic","Electronic check",50
"1563-IWQEX","Month-to-month",12,19.7,"No","No","Mailed check",30
"8203-XJZRC","Month-to-month",1,20.25,"No","No","Mailed check",30
"6556-DBKZF","Two year",71,76.05,"No","Fiber optic","Electronic check",100
"6851-WEFYX","Month-to-month",35,100.8,"No","Fiber optic","Electronic check",70
"2985-JUUBZ","Month-to-month",40,74.55,"No","DSL","Electronic check",70
"6390-DSAZX","Month-to-month",1,73.6,"Yes","Fiber optic","Mailed check",50
"0895-LMRSF","One year",23,64.9,"No","DSL","Bank transfer (automatic)",60
"8098-LLAZX","Month-to-month",4,95.45,"Yes","Fiber optic","Electronic check",50
"8266-VBFQL","Month-to-month",4,90.4,"No","Fiber optic","Electronic check",50
"8181-YHCMF","Two year",68,60.3,"No","DSL","Credit card (automatic)",90
"2240-HSJQD","Month-to-month",38,81.85,"No","Fiber optic","Mailed check",70
"1248-DYXUB","Two year",52,24.8,"No","No","Mailed check",80
"0265-EDXBD","Month-to-month",32,74.9,"Yes","Fiber optic","Electronic check",70
"4115-BNPJY","Two year",29,75.55,"No","DSL","Mailed check",90
"3167-SNQPL","Month-to-month",38,101.15,"No","Fiber optic","Electronic check",70
"4091-TVOCN","One year",48,78.75,"No","DSL","Credit card (automatic)",80
"1098-TDVUQ","Month-to-month",1,19.25,"No","No","Bank transfer (automatic)",30
"7277-OZCGZ","Month-to-month",22,89.05,"No","Fiber optic","Electronic check",60
"1557-EMYVT","Two year",43,115.05,"No","Fiber optic","Credit card (automatic)",90
"2799-ARNLO","Month-to-month",5,69.35,"No","Fiber optic","Electronic check",40
"7563-BIUPC","Month-to-month",5,80.6,"Yes","Fiber optic","Electronic check",50
"5027-YOCXN","One year",51,110.05,"No","Fiber optic","Credit card (automatic)",90
"3973-SKMLN","Two year",71,19.9,"No","No","Credit card (automatic)",80
"2321-OMBXY","One year",38,80.3,"Yes","DSL","Credit card (automatic)",80
"2840-XANRC","Month-to-month",24,93.15,"Yes","Fiber optic","Electronic check",60
"6745-JEFZB","Month-to-month",35,91.5,"No","Fiber optic","Credit card (automatic)",70
"5020-ZSTTY","One year",54,82.45,"Yes","DSL","Bank transfer (automatic)",90
"9880-TDQAC","Two year",72,60,"No","DSL","Electronic check",90
"8705-WZCYL","Month-to-month",1,44.8,"No","DSL","Electronic check",40
"7102-JJVTX","One year",9,48.6,"No","DSL","Mailed check",50
"8626-PTQGE","Two year",69,60.05,"No","DSL","Bank transfer (automatic)",90
"4983-CLMLV","Month-to-month",52,102.7,"No","Fiber optic","Credit card (automatic)",80
"5701-YVSVF","Month-to-month",11,82.9,"No","Fiber optic","Electronic check",50
"5804-LEPIM","Month-to-month",2,70.35,"Yes","Fiber optic","Electronic check",50
"5697-GOMBF","Month-to-month",28,35.9,"No","DSL","Electronic check",60
"2739-CACDQ","Month-to-month",17,82.65,"No","Fiber optic","Credit card (automatic)",60
"9385-EHGDO","Two year",35,19.85,"No","No","Mailed check",70
"9498-FIMXL","One year",8,19.2,"No","No","Mailed check",40
"2379-GYFLQ","One year",46,94.9,"No","Fiber optic","Credit card (automatic)",80
"0122-OAHPZ","Month-to-month",7,73.85,"Yes","Fiber optic","Electronic check",50
"2868-SNELZ","Month-to-month",2,80.6,"Yes","Fiber optic","Mailed check",50
"4322-RCYMT","One year",68,75.8,"Yes","DSL","Bank transfer (automatic)",90
"6680-NENYN","Two year",43,104.6,"Yes","Fiber optic","Electronic check",90
"2088-IEBAU","Two year",68,88.15,"No","DSL","Electronic check",100
"7982-VCELR","Month-to-month",36,94.8,"No","Fiber optic","Credit card (automatic)",70
"1343-EHPYB","Month-to-month",63,103.4,"Yes","Fiber optic","Electronic check",80
"6035-BXTTY","Month-to-month",32,54.65,"No","DSL","Bank transfer (automatic)",60
"6885-PKOAM","Two year",71,85.75,"No","DSL","Credit card (automatic)",100
"7520-HQWJU","Month-to-month",66,67.45,"No","DSL","Bank transfer (automatic)",70
"9639-BUJXT","One year",63,20.5,"No","No","Mailed check",70
"5924-SNGKP","One year",41,20.25,"No","No","Credit card (automatic)",60
"0021-IKXGC","Month-to-month",1,72.1,"No","Fiber optic","Electronic check",50
"2034-GDRCN","Month-to-month",2,90.4,"Yes","Fiber optic","Electronic check",50
"8966-SNIZF","Two year",70,19.45,"No","No","Bank transfer (automatic)",80
